"ID","Joke"
1,"[watching TV] GF: Tickle my back please ME: Is that nice? GF: Little bit higher ME: [very slightly squeaky voice] Is that nice?"
2,"""how'd your football team football today?"" those footballers footballed quite well...really good footballin'"
3,"If you put healing crystals in a sock and beat someone with it do they cancel each other out?"
4,"Me: You can't honestly expect me to believe this house isn't haunted; I can see the ghost walls from here. Realtor: Those are windows."
5,"if squids were land animals sometimes you'd be walking along and you'd look up and BAM squid in a tree"
6,"Toddler: *crying bc it isn't her turn with the princess crown* Me: Sweetie, you need to share Husband: Just give her the crown, you're 35"
7,"SCIENTIST: Behold The self-esteem powered car! Come take it for a drive ME: uh okay *gets in* [CAR JUST LITERALLY FALLS APART]"
8,"Ninety percent of being a dog is not realizing your own tail is your own tail."
9,"Facebook: My little man is the best thing that's ever happened to me! Twitter: Free baby. DM for details."
10,"Honestly, my biggest fear about becoming a zombie is all the walking."
11,"[job interview] ""Tell me one of your long term goals"" Sleeping ""No, I meant-"" *leans in way too close* My answer isn't going to change"
12,"[movie theater] *reaches into wife's purse* *pulls out lasagna* me: Told you it'd work"
13,"A man was arrested on Brighton beach today for throwing pebbles at the sea birds. He was accused of having left no tern unstoned."
14,"[sound of can opening] wife: you're drinking a beer this early? me: c'mon...it's super bowl sunday wife: but we're still at church"
15,"Mob Boss: I need you to smoke this guy. Me: Ok, that takes 8-12 hours for a turkey though. Mb: I don't care just get it done."
16,"The cashier told me to have a good New Year like my purchase of oven cleaner and frozen pizza suggests anything else."
17,"*At the ouija board* Me: Err... mom? Can't we just... Ouija board: A-N-D A-N-O-T-H-E-R T-H-I-N-G"
18,"*Me, getting my arm bitten off during a zombie apocalypse* 5: *crying* Me: It's okay, son. 5: You said you were gonna get me a snack."
19,"The real miracle is that the human race still exists after being stupid enough to kill the guy who could turn water into wine... Idiots."
20,"Girl: I want bangs Me: I want a stylist to get my hair as close to antlers as possible. Make me look like a young prince of the wooded glen"
21,"The first rule of liars club is to tell everyone you're in fight club."
